unique_identifier,usage,log_usage,status
f944d4c6db2ad2018cd03eab219d2ec7,24741.70,4.3934295367,ACTIVE
abf36022c1e050ac8cc3f5d740547193,35799.00,4.5538708953,FINALLED
4a6ad648dd63c84a62571f372016e8f3,29978.00,4.4768026553,FINALLED
2ca3bdd751e33e53d584e22221d8a0d7,49650.00,4.6959192528,ACTIVE
77e0a5e4e9629e0f7088c127a348a5a2,25963.70,4.4143665824,FINALLED
aadac8c0cb28e8c8680e6d673c6caaa5,10531.10,4.0224737367,ACTIVE
3e87e670d2ce223c1896cb05e893f725,27932.00,4.4461020334,ACTIVE
bdb02bfefef6d044d8f128859f826163,8699.00,3.9394693308,ACTIVE
caac78dec4b86cc8408495b87427c9d8,114088.0,5.0572399669,ACTIVE
05e55761d4f227bdcb06d74daa4a617b,20227.00,4.3059314745,ACTIVE
bdb02bfefef6d044d8f128859f826163,12422.00,4.0941915249,ACTIVE
d83627a0288d0642255149e85d0e2ac0,10517.00,4.0218918739,FINALLED
ebd98e7b6d82281adf042a21915942c6,12625.00,4.1012313868,FINALLED
d83627a0288d0642255149e85d0e2ac0,35596.00,4.5514011981,ACTIVE
5da6a2a2760ebfb9de47a352b0e88aff,19062.00,4.2801684652,FINALLED
14223d38472aa5f74e4ecbdec2ee1d51,18327.00,4.2630913799,ACTIVE
33e23b6d0d7d642868ee3be5b270f1eb,12115.00,4.0833234185,ACTIVE
d9f3a9159801dd9d45f50f5569599fbb,30745.00,4.4877744974,FINALLED
c0fa55b851de9c8d85da662af16105bf,48784.00,4.688277407,ACTIVE
0d58d0e236431ade855400c3c6010266,66480.00,4.8226910108,ACTIVE
c176f7789d138c11b21c7bcde0921e1a,12613.00,4.1008183957,ACTIVE
c4e0c56040edcb26208ecb9f78f15b64,3635.00,3.5605044152,FINALLED
b82367ff1434eb3b63fe38fcb803960c,52384.20,4.7192003158,ACTIVE
4c4f5547c720579b9987ce7192d4bcec,725.00,2.8603380066,FINALLED
8f30744f0db5fdfb9c0820f587946cea,122801.0,5.0892019034,FINALLED
4fde62bbf6bf5d2710c14b69c0809305,11226.00,4.0502250379,FINALLED
0c794f1581821ad49a2662907f9cb588,11595.00,4.064270753,FINALLED
55b47f0ad0538d73b25d4a7882aa49a3,3508.00,3.5450595847,FINALLED
e8db9f17280e618b733aa6d14475f897,28539.00,4.4554387515,FINALLED
1fd796d0092761600fc0fdad622f6d26,23265.00,4.3667030569,ACTIVE
4a8c260da78fce9d0f61c2fc1be3fb8b,31629.00,4.5000854612,FINALLED
e280ae8fd8717c0e1274d835e661efef,1837.00,3.2641091563,ACTIVE
e280ae8fd8717c0e1274d835e661efef,6360.00,3.8034571156,ACTIVE
d9a5b137940a54322b78d52701e3f32f,4870.00,3.6875289612,ACTIVE
f08301fc59ec86a2b6c28cd413474c96,12360.00,4.0920184708,FINALLED
bfdb2ef9c32b1c9c6aa966efb13b18f8,6076.00,3.7836177652,FINALLED
44007e6a5cef73af5b3e1aa98f469a62,12930.00,4.1115985249,ACTIVE
65b7cb0bb99b5c8a614b07f44cbcd032,8510.00,3.9299295601,FINALLED
7a3629bfeb41f8f3868a5562c8602cbb,25607.00,4.4083587015,FINALLED
00f55f1471d9705f190e1255f3e0b061,14330.00,4.1562461904,ACTIVE
505fea56f04d54b3f77899d3f1f1429b,24960.00,4.397244581,ACTIVE
85fc3e86c1d0a2416b7521a7b2ce767c,19680.00,4.2940250941,ACTIVE
f677ac72ba5e16f3678c3c0036c93be6,47500.00,4.6766936096,FINALLED
e614871862c651fe08eccd2b4485799d,3900.00,3.591064607,ACTIVE
734b33e72168a9b0991632cf55996ec4,40786.00,4.6105111149,FINALLED
ca94e0abc98035d8cc243479564c1433,29900.00,4.4756711883,FINALLED
63412f5018d3f904644eb778714e3c07,5730.00,3.758154622,FINALLED
e95b010cc28a8a5ab89b30c0c5e3ac8d,31163.00,4.4936392597,ACTIVE
8a3202d1615da879ca89e18d8fc992a0,15196.00,4.1817292849,FINALLED
722430a1e0f3ac4c222aa26d063bc14e,12200.00,4.0863598307,FINALLED
289198a89b71d3d3f885b3c17bfe728b,10456.20,4.0193738816,FINALLED
80ca20c7feeaebace14d11f85a6e24d2,17644.00,4.2465970491,FINALLED
0882982d0ab62648ce979806847ba1a3,6160.00,3.7895807122,ACTIVE
0882982d0ab62648ce979806847ba1a3,2080.00,3.318063335,ACTIVE
5240ed1d0c762aabd1e0505b56c38381,44109.00,4.644527212,FINALLED
18814115437bcf526fb869a62ea2f5f7,202080.0,5.3055233332,FINALLED
98d8e829171184742e6fa750210819fe,37280.00,4.5714759037,FINALLED
635e0171cd024aa480c96029666183b3,13286.00,4.1233942481,FINALLED
635e0171cd024aa480c96029666183b3,2844.00,3.4539295921,FINALLED
d64267a30a69dcc433814b45e1d770b4,21600.00,4.3344537512,ACTIVE
ce37318761487c6a55e2e6426f4fb086,54157.00,4.7336545988,FINALLED
cdc916a798db95509122eb0c86a188f3,95220.00,4.9787281771,ACTIVE
e47ca62a1936c3427c544350066c2bc7,8511.70,3.9300163082,FINALLED
bd8fc31b06f5fdeeaaf83bf053c41ead,898.20,2.9533730507,FINALLED
f5b308630eee177aaea7e07647b7f117,39171.00,4.5929646588,ACTIVE
9d49e813338e7268ba698b632f69cb14,4073.00,3.6099144101,FINALLED
49b2596148444ecd8135066b0c66d8d4,50803.00,4.7058893588,ACTIVE
e8ce3c1809a64e2592b42edc744d6c9d,474400.0,5.6761446804,ACTIVE
a931910631d1c3899e23bc86a5c9be1e,10976.00,4.0404440984,ACTIVE
bd70ba07a73b642f5eb0dc80e529f6cd,28019.00,4.4474526312,ACTIVE
02ebc95e3d7780482892005baf9645f5,9519.80,3.9786278245,FINALLED
2e8d600f1151cc31ca69bd03039c7724,94086.00,4.9735250052,ACTIVE
c6931d801117bea30fffe0ad846e3315,93592.00,4.971238728,FINALLED
c6931d801117bea30fffe0ad846e3315,65643.00,4.8171884209,FINALLED
fa82f0099a6be912234302a8e2ecba13,38320.00,4.5834255004,ACTIVE
c04fdf1fe34291c6ce57593445cb6f6e,37428.00,4.5731966208,ACTIVE
8b19eed6d3bbeda317f50f1253eed275,183015.0,5.2624866862,ACTIVE
f6d0d06ee874ce4b3147de10f1f9da07,19710.00,4.2946866243,ACTIVE
c04fdf1fe34291c6ce57593445cb6f6e,69037.00,4.8390819109,ACTIVE
d450a7ecb8d19de41272a42406ae91ca,356520.0,5.5520838979,ACTIVE
e67b6f1f96db4976818934320e1f6494,7121.00,3.8525409858,ACTIVE
66a854466d8d86361ee0da54ddf910af,68800.00,4.8375884382,FINALLED
c85bedb01a48fef5d9f1c47d054bde7f,304640.0,5.4837869267,ACTIVE
010e55babc08b45a4afe15338e28b8c5,44613.00,4.6494614283,FINALLED
fa89487e65d74e3503f76cad6221cd02,271120.0,5.4331615558,ACTIVE
4bb03451e7c73db8ccafde1247b9cac0,11036.30,4.0428234974,ACTIVE
8cb8c4c8140e8b0a80ef9de8381d1691,96240.00,4.9833556143,ACTIVE
cfa9529a05e3ae3922a5d3fc73ddabee,19681.00,4.2940471613,ACTIVE
2cde5d7cee03e97926c81ed9148bbd0f,42599.00,4.6293994043,ACTIVE
f89af4736c55c7157cc9d6eb7fcfda4c,33146.00,4.520431126,ACTIVE
02d55bba2b161684776050d3226d9a44,38346.00,4.5837200679,ACTIVE
4f634b718009de7bb6ebcbb665175329,20677.00,4.3154875278,ACTIVE
a72a7b2d68f208eff4dec1c1565aa408,1604.00,3.2052043639,FINALLED
069f899af03aa2e024090fa8bbf7644f,120364.0,5.080496612,ACTIVE
b71996abfd819bcb622c1b285adceb33,20052.00,4.3021576959,ACTIVE
dfd53a60b8980a4208a6a9bb284746b8,18601.00,4.2695362928,ACTIVE
34cd7a58e276f6696f5dd8638f03384d,14820.00,4.1708482036,ACTIVE
d419cfe19228e3aaf0ac69419a454070,7919.00,3.898670343,ACTIVE
47d1356160405bf47a7b83f7d5cc1821,9815.00,3.9918903039,FINALLED
f1eba07d3a2436f8f85030876958896b,14000.00,4.1461280357,ACTIVE
4fe0265d05798d6a38ff4e5a0efad02b,12688.00,4.10339317,ACTIVE
3510a2c82a162bfb7344f6797fc25027,28062.40,4.4481248107,FINALLED
3ad15084c6086e68338f463ef92a9be8,10835.00,4.0348289157,ACTIVE
cd5a7cc0abd7b3f3cc1f0c6f2121c7db,3095.00,3.4906606534,FINALLED
a892177fb0b5cfe5239353aac942b2b6,8837.00,3.946304855,ACTIVE
0e292c54849222de6099e6c093a7f58d,97400.00,4.9885589569,ACTIVE
2ebf913c7c191c5eabd1b9612aae59f8,21280.00,4.3279716236,ACTIVE
313c94235a0fd77883fc07af7b547df1,210480.0,5.3232108351,FINALLED
5e7aa123e0da8d059266da5f03945ac9,9887.00,3.9950645342,ACTIVE
5e7aa123e0da8d059266da5f03945ac9,18907.00,4.2766226242,ACTIVE
323b12527df7a97c294e82dd31983c92,38012.00,4.5799207206,ACTIVE
b7958842eae6d80cdb809e6acd3ab29d,6495.00,3.8125791554,FINALLED
d72056f89f2664c65a48be8ae3b0f44e,8788.00,3.9438900482,FINALLED
89dd751594e401de1e45258d42334331,18813.00,4.2744580555,FINALLED
ad62a7ebf13d75cbb94b69a369d17855,12677.00,4.1030164903,FINALLED
ad62a7ebf13d75cbb94b69a369d17855,5876.00,3.7690817871,FINALLED
ad62a7ebf13d75cbb94b69a369d17855,13360.00,4.1258064581,FINALLED
4be5c08a4dcf89e1b543f0c9b881bdcb,2418.00,3.3834562965,FINALLED
1fb8cda4dd93049fccae0337d4affb37,14500.00,4.1613680022,FINALLED
05e5219a13202893132bc2d3cafd591f,44400.00,4.6473829701,ACTIVE
019b70147b78a066e76e6e9cb7cc40bb,1960.00,3.2922560714,ACTIVE
bd811b6e5696247da1f4639f390d8b95,25397.00,4.404782419,FINALLED
fcbacdab7d08cbafbe99f194acd93368,5992.00,3.7775718047,FINALLED
c2441cef52a2aab650dd8545ecd27d53,65321.00,4.8150528247,FINALLED
13f5dd48d91dd4c55debe9704a2dd9b7,9248.00,3.9660478211,FINALLED
d3ee4904455b6206537633a1f06708e8,27540.00,4.4399639359,FINALLED
49e4d561afb7f7d21167403bf2ab5ab5,9172.00,3.9624640461,FINALLED
d1e7cc9c24727e7cc65cc53f0565c140,722.00,2.8585371976,FINALLED
f25d7348ee662afaa7e69c8bb6e06974,7728.00,3.8880671134,FINALLED
b1056e66a14324488b49b8b1b9fa9246,14500.00,4.1613680022,FINALLED
fbeeb594de6338eaa80939b37b089701,77920.00,4.8916489439,FINALLED
a8528ba7b8905d35eda41f6aebd35466,709.00,2.8506462352,FINALLED
a72a7b2d68f208eff4dec1c1565aa408,12159.00,4.0848978585,FINALLED
f3adc82c1210de5285a8864850cef1e1,15764.00,4.1976664262,FINALLED
d139a4eb17f88f459bfcb07e12ae7b70,11324.00,4.0539998607,FINALLED
42fb1201630800eeeea9e9b1948bf9ad,18482.00,4.2667489659,FINALLED
981a53e696fd75496227f08ec37c756d,3914.00,3.5926208213,FINALLED
a0e69dc23efcc8bdacc2cbdb9abbf857,12291.00,4.0895872187,FINALLED
5841e279a850fc5fcb3871951f9c16d6,10936.00,4.0388585016,FINALLED
c3950d2296e660f4915bad525db901ea,8427.00,3.9256729939,FINALLED
3c9f17da8a3aa007874e4c6511ddf840,36210.30,4.5588321229,FINALLED
485e32304c173fff29cbb1e8835f0392,23792.00,4.3764309512,FINALLED
80124232c0533e64c76102cb9d43c425,14500.00,4.1613680022,FINALLED
2bc1df3dd6cfc1bd2457feec540c43f0,45593.00,4.6588981695,FINALLED
ed7cc750b2d261693a4533e1891860f9,22316.00,4.3486163527,FINALLED
842d6ffe8f2461221a2daca929d0460a,40465.00,4.6070795447,ACTIVE
c0710302b0dd950e16f1464539f098e6,8369.00,3.9226735679,FINALLED
b582f904f7298ab5ef53c6e722e2a230,7916.00,3.8985057855,ACTIVE
a50cc168efae79eb71c6d1f268fe965d,126560.0,5.1022964662,ACTIVE
0ad446394f3a9353546ada481ee0a052,40000.00,4.6020599913,FINALLED
254b57e008ba564a1e017e48d3d86154,10844.00,4.0351895089,ACTIVE
ce0b3fcb80f4c04e3c0d99956e9a4d1a,56352.20,4.7509108756,FINALLED
f962bdc96602d6f666a6983ccca26f3e,34893.00,4.5427383104,ACTIVE
609b8bcd185adec00621631f355b0809,4208.00,3.6240757311,FINALLED
9c6e74ca73e0ad9a0d1f0692dc55e4e1,85840.00,4.933689709,ACTIVE
c41ed73c6befa43016756c4b44d7b502,65725.00,4.8177305948,FINALLED
d05d974a99f0edc0ae591666c5b056a3,13198.00,4.120508124,ACTIVE
d297f8e1754b02cb15d56d3b3222256b,39607.00,4.5977719484,FINALLED
035bf01d5ac467e107a54edcf537ba8b,31606.00,4.4997695358,ACTIVE
7b35ada518055566565f30027c4c5414,30758.00,4.4879580926,ACTIVE
681bebfcf717f8b920402dbadcd3ceb1,95243.00,4.9788330665,ACTIVE
844d0f91a8aaf0d9b7b5280964eb509c,56293.00,4.750454394,ACTIVE
9e6d912b64ba152671b10a32f682be80,16293.00,4.2120010575,ACTIVE
02fc6798ec6baf1f36e351f407afa9c1,265200.0,5.4235735197,FINALLED
dadc9b16f33d365d72ff1908ec6ecd2d,113900.0,5.0565237241,ACTIVE
d508947ece3b3893a77d7e6bb21e9b83,20240.00,4.3062105082,ACTIVE
5ca8b51b197d700d990633acd7bc85bb,1992.00,3.2992893341,ACTIVE
3e04ccdbe3fb95fb38b47117080a2393,66431.00,4.82237079,FINALLED
3b30debb33f8b3cf48c2a15a970c4871,68960.00,4.8385972528,FINALLED
8db3354cfec50af8cb1af5358b87540c,34121.00,4.5330217508,FINALLED
467fdb137d3ad57bb8cd140f66fe6880,15215.00,4.1822719567,ACTIVE
f30d9e89f81d459683cc30fcc8d9c5bb,13918.00,4.1435768322,ACTIVE
f30d9e89f81d459683cc30fcc8d9c5bb,4047.00,3.6071332044,ACTIVE
99bc13d464afb1af2ca2ba54d09dddcd,1639.00,3.2145789536,ACTIVE
a7cae82a92358ba154c9fe5ca4853ad5,17446.00,4.2416958681,FINALLED
7e4f245e8d748dfdb51a8c854886820b,12782.00,4.1065988132,ACTIVE
cda325b3164299b2d50d24f0c3f3a8ea,4144.00,3.6174197467,ACTIVE
cefbf5d466ed83833c23d6ce1d438b27,12104.00,4.082928915,ACTIVE
69092ff6204f37b92a3f4a196f0b2386,45738.00,4.6602771702,ACTIVE
69092ff6204f37b92a3f4a196f0b2386,10798.00,4.0333433231,ACTIVE
a6cef85b440196ec7b76a4a9cb394799,13319.00,4.1244716189,FINALLED
ba9d89e393ba9d56ba49f937408649f9,11294.00,4.0528477834,FINALLED
06741263226aa5e3c60a6a147021ba5f,20884.00,4.3198136845,FINALLED
d67106f0c2b9fdc5751fdfe25c414df7,15579.00,4.1925395773,FINALLED
8ad338bc5971e9d7a0824e58ebd41d7d,346922.1,5.5402319666,FINALLED
