unique_identifier,usage,status
00563c28d90262191e08d27e60c221c4,75720.0,ACTIVE
0058709df9893fab5a3f52f8b0f732a6,25040.0,FINALLED
00589fa8356544ca94731f304f091d6b,11125.0,ACTIVE
005c5f0edbbd65efc9ce27cbed872358,174042.0,FINALLED
005c8117abea1d5464bc36852d1005cc,52000.0,FINALLED
005fba63046ea1a5be2d635c4da9de2a,1147.0,ACTIVE
005ff1b2330009e0154f9a805a786f2e,6002.0,ACTIVE
0060143489b1be7fc0e93349276b6f64,31569.0,FINALLED
006086f8a7c5f43b28f0653585492b70,3775.0,ACTIVE
0061273bf1d749e243c08ea4d2d8cee5,2198.0,ACTIVE
0062167172d61c4414dd55e6c1c345e7,2376.0,FINALLED
0063006caf96f589caeb3c09cefa32de,5973.0,FINALLED
0063e21c9808baa9aa07f710412daed4,15445.0,ACTIVE
0064d86f295690598455976726fa0cdd,22683.0,FINALLED
00663854560254c5b572d8682302bfd0,28936.0,ACTIVE
0066631ee8122125bf90581b5c63d1ed,6070.0,ACTIVE
00682340f9b0d6a8eace206721817e37,29561.0,ACTIVE
006930f28796b35eb5dd8b3c4e6929a4,89215.0,ACTIVE
006a03733386f8e60509b1b4c6df38d3,72074.0,ACTIVE
006b667d4cded402629677a5e28522b6,109992.0,FINALLED
006c7e923bda26daf0b4369fe394d6a3,586107.3,ACTIVE
006d757c5d715f7353b37a3f00aa8bbf,2630.0,FINALLED
006f204212e8a566cbf3b6db9ec66924,18908.0,FINALLED
0070960f6342bbc47d0b5f4431dc430c,68320.0,FINALLED
0072b1e09067e72ca88b5ed836772f9a,49985.8,ACTIVE
0072b56862b710244bc15439daefbb09,145100.0,FINALLED
00737b91c91e901e4814d673e31c5481,41920.0,ACTIVE
00749f6590115176055cb61156d2f6cb,37784.0,ACTIVE
0075bcbc8f13b1b96f09778595fe895a,183080.0,FINALLED
0075f14733ed27a4028c7bd2f273bacf,125841.6,ACTIVE
0077f9d567bb7e31ab2aa8a331729bdb,18485.0,ACTIVE
0079ac78d31b81d894ffc4185ac7618c,1680.0,FINALLED
007a3950748e6644f2bd88a00565f26b,3580.0,ACTIVE
007a96caa819b53852b78dcb0f79da51,5323.0,ACTIVE
007b299023341177b037ed3cc053ebcf,300124.0,ACTIVE
007cc93d421e892819e2bedf6a302c7d,47676.0,ACTIVE
00813d4cb2373426e1c4f8cd9ccd5930,89835.0,FINALLED
0081ce6dbcaab36809520c9779d1120f,14883.0,ACTIVE
00823bed647d8f286f572d480c7b35bf,220477.8,ACTIVE
00824e5d1ea11ee35adc3a6dd4cd6fb9,9597.0,ACTIVE
00832a7d393b01a18344dc8a5b213346,1234800.0,ACTIVE
008514c56a24e20e32c9853945b5399b,4958.0,FINALLED
0085866dabcd1cb2f8b7d555c9327e57,7872.0,ACTIVE
00880171bf5f88590d36160876338cb4,11388.0,ACTIVE
008a698d9392b6662468e559ab5baf7e,11906.0,ACTIVE
009080b400e067b1b87cbed6232e820d,34325.0,FINALLED
009168d0ff5e4e82352c6d026990c3d9,27760.0,ACTIVE
0091b5d45f333502965626ebd3be24bb,144223.0,ACTIVE
009369ef359a8cf8b5e2e16873962f8d,54000.0,FINALLED
009484dec53ba8a83b6f4e59f23350cb,28280.0,FINALLED
009648b262ac8d9b033935b51c28486f,259977.8,ACTIVE
0097daeec2550a711dc86d38da73f1a4,33880.0,ACTIVE
009963db3998bb864909ff26e9c4c3db,65437.5,FINALLED
009adf4243b19b7a0e302b6a8ea4e7f8,2499.0,FINALLED
009bf2d2f461c385ae16771073ec7670,36800.0,ACTIVE
009d72a482d1f16008071dbd8a717bf3,15656.4,ACTIVE
009e01ab36502348a05c3bc683d02e53,5103.0,ACTIVE
009ec9023ab4a10c9c4976bd0d81b135,43272.0,ACTIVE
00a023637041d8c94af2d5efbfcbf560,8260.0,FINALLED
00a19c7eebca5a4f39d858fbab3314fe,44255.4,ACTIVE
00a688c4c44a66823302ae3c6a2cf340,71700.0,ACTIVE
00a6da22d9d587232fff2685639e8708,19500.0,ACTIVE
00a6dc34164bab7f02dd51e9c85fab43,49276.0,FINALLED
00a6ebab20be5e10a3a83f12701f24b2,38396.0,ACTIVE
00a724fabc7d3dea34e3b400de93ad26,21900.0,ACTIVE
00aa3aa30a7972c631c0ab2378f4cbb3,283.0,FINALLED
00aaa6651893e1eda24e8b38c9d9a09e,67010.0,FINALLED
00abf575962ca658fca58523dcef8917,26106.0,ACTIVE
00ac1c901aad8e1b6042efbf766bdde0,3762.0,ACTIVE
00ad853856a0fe07e61856903d91f5f2,28500.0,FINALLED
00b01db73b39a3cba35741c4af8d6d72,20279.0,ACTIVE
00b0726e8710319f0428bf3db4f05716,1530.0,ACTIVE
00b64f9a242a1db54c6c2da91e06aae8,284980.0,ACTIVE
00b78f80581122347d12ee5b8eed787d,38980.0,ACTIVE
00b89790ddeeb4b47763f6ca75f11fc8,2602.3,ACTIVE
00b9fee290012c1397512044f2377f6b,9247.0,ACTIVE
00bdd712a905ff24974e4f971e27fead,10556.0,ACTIVE
00bf8c937341863447deb9ee97dfe66c,55706.0,ACTIVE
00c056e794151bf222d5e8d6a5bb46dd,11704.0,ACTIVE
00c05bca72217feac860ead62a0d7380,16784.0,ACTIVE
00c09629bc7b4723245a358c2e4d9c47,7422.0,ACTIVE
00c21bfa7cd1fbbf26fc6ac290ef34d2,147552.0,FINALLED
00c2619fdeda017653ea4d7795b06e05,7417.0,FINALLED
00c2a4811e70d2938a2be43fda34d072,11684.0,FINALLED
00c378fda11b782bcc2779c9d3bee972,15804.0,ACTIVE
00c3cd644095002e5500132e2da33d44,4619.0,ACTIVE
00c50c0ffaad6589cd333a95750d757b,294599.0,ACTIVE
00c6db6788379cd518bf3e5026d2da05,3309.0,FINALLED
00c7f67578022e847c3799857def01ad,18178.0,ACTIVE
00c85a880ddc93697f6058cb0a5ce7b0,15139.0,FINALLED
00c965a1ec88fdbe886b05b4416c479b,13506.0,FINALLED
00c9a314ed4b3aae3ddfa1de12535e0a,13958.0,ACTIVE
00cb23c9d0f65330e346022be304781a,27984.9,ACTIVE
00cbb9098e2b8a0ae5528560cf6c2dcd,67560.0,ACTIVE
00cfb860699135c70bf4b1e7d460b03f,6682.7,FINALLED
00d0a45f8c8a46a1e38686c2331ff139,18320.0,FINALLED
00d0b0ff7bd546f0a25e409a1b6a7786,11760.0,FINALLED
00d4189ed4d9b8b0c8577c5558c640f8,16684.0,FINALLED
00d8283043a130ebfa80431822e5795a,56918.0,ACTIVE
00d8843f93bbcd2ce91b1de997032513,9597.0,ACTIVE
00d9c77858c4d379c8118129bc294d48,1549.0,ACTIVE
00da512f86c339d373894bb2e7792948,8147.0,FINALLED
00db2b0620c6c2a7edccf48e2e97477b,70323.0,ACTIVE
00df19e4d80092b18be3fac104d02cb7,30103.0,ACTIVE
00e11db520c8a1696edfa719a7f38e28,28320.0,ACTIVE
00e33f2d635caaa3a85541e723ef3368,74756.0,ACTIVE
00e741e74afe8328d73b1d3deddada3a,108051.0,ACTIVE
00e7894bd6d2cf6b3168a78f1651ec62,22881.0,ACTIVE
00e80fe7ec6825608fe06b07898674ca,72000.0,ACTIVE
00e878b2fb655e6f64594bdab2fd7d1c,43875.0,ACTIVE
00e9a9bb2979c98ef340a82bcc26a45e,43184.0,ACTIVE
00ea7399b44fd55239f878e2605b6ddc,22480.0,FINALLED
00ebb533aeb893050dc8e61081e13c2f,6460.0,FINALLED
00ed823cf2826ef408b484f47a324105,16220.0,FINALLED
00ee447a9d455259fa6ff9ef1dbe84ca,194306.0,ACTIVE
00eefc41324b07a20b87724ceb476b6e,759598.1,ACTIVE
00f372915fb3a22f9dc7965d44e185ac,7095.6,ACTIVE
00f42da89ad6a8e6bbe308f6c1447f3b,7877.0,ACTIVE
00f4802ed6e55fc8c3f87a5e174ea62f,2274.0,FINALLED
00f50851913299e8fc7dd5de8bd7ca9d,17251.0,ACTIVE
00f55f1471d9705f190e1255f3e0b061,14330.0,ACTIVE
00f6442699906d99af1cd0f827bee037,11111.0,ACTIVE
00f704696a42a0968d2681c0c30f1060,59969.0,ACTIVE
00f85a884a83f61a5f03167d3f2838c0,103425.0,FINALLED
00f87bca3f57eae3a1fe09584960c51d,22593.0,FINALLED
00f8ae60b949fc1a1aaae719185fa57e,19692.0,ACTIVE
00f8d3ecd18dae881ebd29628dc8edeb,22323.0,FINALLED
00fa7252797504b9e1af1651a39a230c,13350.0,FINALLED
00fc1fb75f8e26b1106d7af92b2d1641,172602.0,ACTIVE
00fc6dfad9b1254f4988319f4854a535,86720.0,ACTIVE
00fd6179912d459e1833b2dc3bcb0300,13863.0,ACTIVE
00fd7fbaa26f9d34149bd3eb5730234b,5306.0,FINALLED
00ff2e7dc57a70183ea2edc3856b0a89,60520.0,ACTIVE
01005bbf3d73d60927368ab52fd40f5a,23681.0,ACTIVE
0100b1914846d0f2e00261b54e843e98,38523.5,ACTIVE
01012806d700dff842a7081e33b19d12,113526.0,FINALLED
01015faa93050aa25111097dff6b20d7,13398.0,ACTIVE
0103415d20850b7e5e7a70e3a97b1b99,54840.0,FINALLED
0103741118c697bdc0902170ae2530f3,20229.0,ACTIVE
0104c921905eb75e76f893874c6d5565,14594.3,ACTIVE
