unique_identifier,usage,usage_range,PA,IL,TX,OH,MA,MD,NJ,NY,CT,B2B_ACCOUNTING_EXPENSE_CODE,B2B_ADVERTISING_EXPENSE_CODE,B2B_BIG_BUSINESS_INDICATOR,g_grow,s_grow,c_grow,B2B_BUSINESS_SQUARE_FOOT_NUM,B2B_COMPUTER_EXPENSE_CODE,B2B_CONTRACT_LABOR_EXPENSE_CODE,B2B_CREDIT_GRADE,B2B_EMPLOYEE_SIZE,B2B_EXPENSE_TYPE,B2B_HIGH_TECH_FLAG,B2B_INSURANCE_EXPENSE_CODE,B2B_LEGAL_EXPENSE_CODE,B2B_MEDIUM_SIZE_FLAG,B2B_MULTI_TENANT_DESCRIP,B2B_PAYROLL_EXPENSE_CODE,production_year,B2B_PURCHASE_ADMIN_EXPENSE_CODE,B2B_PURCHASE_PRINT_EXPENSE_CODE,B2B_REST_LEASE_EXPENSE_CODE,B2B_SALES_VOLUME,B2B_SMALL_SIZE_FLAG,B2B_TELECOMMUNICATIONS_CODE,B2B_TENANT_FLAG,B2B_UTILITY_CODE,B2B_WHITE_COLLAR_FLAG,Business_and_Finance,General_Merchandise,Hotels_and_Educational_Boarding,Personal_Services,Auto,Food_and_Dining,Amusement_and_Recreation_Services,Wholesale,Blue_Collar_Work,Manufacturing,Public_Health_and_Social_Services,Real_Estate
b69935c9cf7db8e025f0e2b728d14ffb,1912.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,7,2,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
b69b88ef2c0dfc4385469affdf2cfeac,3587.0,1,0,0,0,0,1,0,0,0,0,4,3,0,0,0,1,3,5,4,3,4,1,0,3,4,0,3,4,9,5,4,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0
b69c14c10efd47794236d07da1d0fc47,125250.6,5,0,1,0,0,0,0,0,0,0,7,3,0,0,0,1,2,4,1,6,2,1,0,7,7,0,1,2,9,5,7,1,11,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
b6a37caa8d54ca520f41ad2b88a948c9,28570.0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
b6a3bca745583b95aab155ead7a5f78a,8823.0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,2,1,5,0,1,0,0,0,0,3,0,9,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b6a60db60d9071fdf9bee2272493ba08,159133.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,1,0,0,0,0,3,0,9,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
b6a74b43f6b348837f65be80c36de06a,45388.0,3,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,2,1,2,0,1,0,1,0,0,3,0,9,0,1,2,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
b6a81e6e5c838dc77daba854b65a7856,11660.0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,2,1,5,0,1,0,1,2,0,1,1,9,1,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
b6a880689e5690cf1ac3af5b1d17c20e,127485.0,5,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,3,1,3,1,1,0,0,4,0,0,1,9,0,2,3,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
b6a9fa175db321900d4715f3b622c5d9,13358.0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,1,4,1,0,0,1,0,0,3,0,3,1,9,3,2,1,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
b6aba9252b629cf6fa2714d029bfa812,17835.0,2,0,0,1,0,0,0,0,0,0,7,7,0,0,0,1,0,7,7,6,0,1,0,7,7,0,3,7,9,7,7,7,11,0,7,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0
b6ae5f4040fc51cd0ad31e417f9e8e91,19163.5,2,0,0,1,0,0,0,0,0,0,7,7,0,0,0,0,4,7,7,8,1,1,0,7,7,0,3,7,9,7,7,7,11,1,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1
b6aeea5babd838094715a492520d22ab,7110.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,1,0,2,1,0,0,2,0,1,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
b6aef1762407a63e150db976ab76f059,23310.0,2,0,0,0,0,0,0,0,0,1,7,7,0,0,0,1,1,7,7,6,2,1,0,7,7,0,1,7,9,7,7,7,11,0,7,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0
b6b6344f917fec76aee06ef4f7e93cd1,36919.0,3,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,3,4,2,0,3,1,0,4,3,0,3,3,9,5,2,3,2,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0
b6b6af985ec9b872c080e05b7666a621,157874.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,3,0,9,0,0,0,0,1,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0
b6ba78f4e6c273ebe29fdb9c0978ce69,13875.6,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,2,1,1,0,7,2,0,3,2,8,0,7,1,2,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0
b6bc03dda86a4b8a9615bbe06056283d,1030400.0,5,0,0,0,0,0,0,1,0,0,7,1,0,0,0,1,1,3,2,6,2,1,0,7,7,0,3,3,9,5,7,3,11,0,2,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0
b6c011095f23392f15ea2813e4f9be60,66917.0,4,0,1,0,0,0,0,0,0,0,6,6,1,1,0,0,3,6,6,0,8,1,0,6,6,0,3,6,6,6,6,6,8,0,6,3,6,1,0,0,0,0,0,0,1,0,0,0,0,0
b6c09ea0e0f4e69d058d84713ca13a8d,19868.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,3,0,9,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
b6c0a04cf9a9c2af1a3e938a5b4d67e6,13759.9,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,7,3,1,1,0,2,1,0,3,1,1,0,0,1,0,0,0,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0
b6c4245765485fc925796c99c983583e,20276.0,2,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,3,5,3,0,3,1,1,3,3,1,0,3,9,5,2,3,2,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
b6c496d2b4e9f36e3854188980835dec,18438.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
b6c51ff933b8c97065bca2ae02a9e443,8531.0,1,0,0,0,0,1,0,0,0,0,4,3,0,0,0,1,1,5,2,3,1,1,0,4,3,0,3,2,9,4,2,3,2,1,2,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0
b6c7b4262cd511ddef07083f7d2c7772,7606.0,1,0,0,0,0,0,1,0,0,0,7,7,0,0,0,1,2,7,7,0,0,1,0,7,7,0,0,7,9,7,7,7,1,0,7,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0
b6c8cd90c79df9b160af4f7bd75437e2,15353.0,2,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,2,1,3,0,1,0,1,0,0,3,1,9,0,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b6ca266d4fdc6efbd331a1d206d1cf05,44801.0,3,0,0,0,0,1,0,0,0,0,3,3,0,0,0,1,1,5,1,3,1,1,0,1,4,0,3,2,9,3,2,1,2,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
b6cf3c362652941d774b7e5fac31a4d3,91370.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,1,0,7,0,0,3,0,9,0,7,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0
